Stereolab;England;Peng!;1992;Rock;Shoegaze;LP;2017-12-01;8.1
Stereolab;England;Transient Random-Noise Bursts with Announcements;1993;Rock;Art;LP;2017-12-01;8.5
Run the Jewels;USA;Run the Jewels 3;2016;Hip Hop;Alternative;LP;2017-12-01;8.6
Faust;Germany;Faust IV;1973;Rock;Krautrock;LP;2017-12-21;8.8
A Sunny Day in Glasgow;USA;Scribble Mural Comic Journal;2007;Rock;NULL;LP;2017-05-08;7.2
Air;France;Moon Safari;1998;Electro;Downtempo;LP;2018-01-12;8.1
Air Miami;USA;Me, Me, Me;1995;Rock;Indie;LP;2017-07-08;7.9
Airiel;USA;The Battle of Sealand;2007;Rock;NULL;LP;2017-04-18;7.5
Asobi Seksu;USA;Citrus;2006;Rock;Shoegaze;LP;2018-03-14;7.7
Blonde Redhead;USA;23;2007;Pop;Nu-gaze;LP;2018-01-12;7.8
Bob Dylan;USA;The Bootleg Series Volumes 1-3;1991;Rock;NULL;LP;2017-05-03;8.1
Bob Dylan;USA;The Bootleg Series Vol. 7: No Direction Home;2005;Rock;NULL;LP;2017-05-02;8.0
Can;Germany;Tago Mago;1971;Rock;Krautrock;LP;2017-05-01;7.7
Can;Germany;Soundtracks;1970;Rock;Krautrock;LP;2017-04-30;7.6
Can;Germany;Monster Movie;1969;Rock;Krautrock;LP;2017-04-30;8.6
Cluster;Germany;Cluster II;1972;Rock;Krautrock;LP;2017-07-12;5.5
Colin Hay;Australia;Going Somewhere;2000;Folk;Poppy;LP;2017-04-17;7.0
Cream;England;Fresh Cream;1966;Rock;Psychedelic Rock;LP;2017-04-02;6.2
Crosby, Stills & Nash;USA;CSN;1977;Rock;NULL;LP;2017-04-23;8.2
Crosby, Stills & Nash;USA;Crosby, Stills & Nash;1969;Rock;NULL;LP;2017-03-05;7.6
Crosby, Stills, Nash & Young;USA;Deja Vu;1970;Rock;NULL;LP;2017-03-25;8.7
David Byrne;Scotland;Feelings;1997;Rock;NULL;LP;2017-04-02;6.4
David Crosby;USA;If I Could Only Remember My Name;1971;Rock;NULL;LP;2017-04-04;7.5
Dirty Projectors;USA;Bitte Orca;2009;Pop;NULL;LP;2017-03-05;5.7
Dissolve;New Zealand;Third Album for the Sun;1997;Rock;Psychedelic Rock;LP;2018-02-01;7.7
Eels;USA;Electro-Shock Blues;1998;Rock;NULL;LP;2017-05-14;8.6
Eels;USA;Souljacker;2001;Rock;NULL;LP;2017-05-16;8.0
Eels;USA;Beautiful Freak;1996;Rock;NULL;LP;2017-05-11;8.1
Eels;USA;Blinking Lights And Other Revelations;2005;Rock;NULL;LP;2017-05-21;7.7
Eels;USA;Daisies of the Galaxy;2000;Rock;NULL;LP;2017-05-15;7.9
Eels;USA;Shootenanny!;2003;Rock;NULL;LP;2017-05-17;7.2
Elf Power;USA;The Winter Is Coming;2000;Pop;NULL;LP;2017-07-13;7.4
Everything but the Girl;England;Eden;1984;Pop;NULL;LP;2017-05-06;7.2
Gorillaz;England;Humanz;2017;Electro;NULL;LP;2017-04-29;5.4
Happy Mondays;England;Pills 'n' Thrills and Bellyaches;1990;Rock;NULL;LP;2017-08-01;8.4
King Gizzard & the Lizard Wizard;Australia;Nonagon Infinity;2016;Rock;Psychedelic Rock;LP;2017-03-23;8.1
Kitchens of Distinction;England;Strange Free World;1991;Rock;Shoegaze;LP;2018-01-17;7.5
Lilys;USA;In the Presence of Nothing;1992;Rock;NULL;LP;2017-04-18;6.7
Martin Rev;USA;Martin Rev;1980;Electro;NULL;LP;2017-04-03;5.7
Mr. Bungle;USA;California;1999;Rock;NULL;LP;2018-02-10;6.9
Neil Young;Canada;Peace Trail;2016;Rock;NULL;LP;2017-04-28;6.4
Neu!;Germany;Neu!;1972;Rock;Krautrock;LP;2018-02-01;7.9
Pale Saints;England;Slow Buildings;1994;Rock;Shoegaze;LP;2017-04-24;8.1
Polvo;USA;Today's Active Lifestyles;1993;Rock;NULL;LP;2017-04-03;6.4
R.E.M.;USA;Murmur;1983;Rock;NULL;LP;2017-07-11;8.4
Red House Painters;USA;Down Colorful Hill;1992;Rock;Slowcore;LP;2018-02-03;8.5
Rollerskate Skinny;Ireland;Shoulder Voices;1993;Rock;NULL;LP;2017-03-23;8.1
Seam;USA;Are You Driving Me Crazy?;1995;Rock;Slowcore;LP;2018-01-16;8.4
Slipstream;England;Slipstream;1995;Rock;NULL;LP;2017-03-23;8.0
Sparklehorse;USA;Vivadixiesubmarinetransmissionplot;1995;Rock;NULL;LP;2017-08-09;8.4
Spectrum;England;Soul Kiss (Glide Divine);1992;Rock;NULL;LP;2017-03-10;7.4
Suffocate for Fucks Sake;Sweden;Blazing Fires…;2008;Rock;NULL;LP;2017-04-18;4.3
Swervedriver;England;Mezcal Head;1993;Rock;NULL;LP;2017-04-24;8.5
The Beta Band;Scotland;The Three E.P.'s;1998;Rock;NULL;LP;2017-08-13;8.4
The Cranberries;Ireland;Everybody Else Is Doing It, So Why Can't We?;1993;Rock;NULL;LP;2017-04-30;7.0
The Darkside;England;All That Noise;1990;Rock;NULL;LP;2017-03-05;8.5
The Darkside;England;Melomania;1992;Rock;NULL;LP;2017-03-23;8.1
The dB's;USA;Stands for Decibels;1981;Pop;NULL;LP;2017-04-17;8.0
The Hotelier;USA;Home, Like Noplace Is There;2014;Rock;NULL;LP;2018-02-07;7.5
The Shins;USA;Heartworms;2017;Rock;NULL;LP;2017-03-30;7.7
The Silly Pillows;USA;Up In the Air;1995;Pop;NULL;LP;2017-04-17;6.6
The Sunshine Fix;USA;Age of the Sun;2002;Rock;NULL;LP;2017-07-14;7.1
The Weakerthans;Canada;Left and Leaving;2000;Rock;NULL;LP;2017-10-29;8.8
Tim Buckley;USA;Starsailor;1970;Rock;NULL;LP;2017-03-12;6.6
Ulrika Spacek;England;The Album Paranoia;2016;Rock;NULL;LP;2017-04-25;7.8
WHY?;USA;Elephant Eyelash;2005;Rock;Indie Pop;LP;2018-03-08;7.8
Wooden Shjips;USA;West;2011;Rock;NULL;LP;2017-05-08;7.5
Wussy;USA;Funeral Dress;2005;Rock;NULL;LP;2017-05-13;8.0
Yo La Tengo;USA;Painful;1993;Rock;NULL;LP;2017-04-17;7.2
Jawbreaker;USA;24 Hour Revenge Therapy;1994;Punk;NULL;LP;2017-04-23;8.1
Stockholm Monsters;England;All At Once (Singles 1981-1987);2001;Punk;NULL;LP;2017-03-11;7.9
Orange Juice;Scotland;You Can't Hide Your Love Forever;1982;Punk;NULL;LP;2017-05-20;7.8
Wire;England;Pink Flag;1977;Punk;NULL;LP;2017-03-12;5.6
LCD Soundsystem;USA;American Dream;2017;Punk;NULL;LP;2018-05-16;8.1
Girl Talk;USA;Feed the Animals;2008;Electro;Mashup;LP;2018-01-05;8.5
Can;Germany;Ege Bamyasi;1972;Rock;Krautrock;LP;2018-01-05;8.0
Secret Machines;USA;Now Here Is Nowhere;2004;Rock;New Prog;LP;2018-01-06;9.0
Kevin Devine;USA;Put Your Ghost to Rest;2006;Folk;Indie;LP;2018-01-07;8.9
Can;Germany;Future Days;1973;Rock;Krautrock;LP;2018-01-07;7.8
The Sleepy Jackson;Australia;The Sleepy Jackson;2003;Rock;Alternative;EP;2018-01-07;6.9
Cat Power;USA;Moon Pix;1998;Rock;Sadcore;LP;2018-01-07;7.2
Smoking Popes;USA;Destination Failure;1997;Rock;Pop Punk;LP;2018-01-13;7.8
The 3Ds;New Zealand;Hellzapoppin;1992;Rock;Alternative;LP;2018-01-17;7.4
Volcano, I'm Still Excited!!;USA;Volcano, I'm Still Excited!!;2004;Rock;Emo;LP;2018-01-18;7.7
Pale Saints;England;Flesh Balloon;1991;Rock;Shoegaze;EP;2018-01-18;9.0
The American Analog Set;USA;Promise of Love;2003;Rock;Indie;LP;2018-01-21;7.8
Lungleg;Scotland;Hello Sir;1997;Punk;Riot grrrl;Comp;2018-01-21;5.9
The Grifters;USA;One Sock Missing;1993;Rock;Noise;LP;2018-01-23;7.0
Beulah;USA;When Your Heartstrings Break;1999;Pop;Chamber Pop;LP;2018-01-26;8.3
Life Without Buildings;Scotland;Any Other City;2001;Rock;Art Rock;LP;2018-01-31;9.2
Bedhead;USA;WhatFunLifeWas;1994;Rock;Slowcore;LP;2018-03-10;8.5
Calamine;USA;Calamine;1999;Rock;Dream Pop;EP;2018-02-05;8.6
Idaho;USA;Levitate;2001;Rock;Slowcore;LP;2018-02-05;7.3
Enon;USA;High Society;2002;Rock;Indie;LP;2018-03-15;8.3
Annuals;USA;Be He Me;2006;Pop;Indie;LP;2018-03-11;7.9
Clap Your Hands Say Yeah;USA;Clap Your Hands Say Yeah;2005;Rock;Indie;LP;2018-02-04;7.7
Jets to Brazil;USA;Four Cornered Night;2000;Emo;Indie;LP;2018-02-06;7.6
David Bowie;England;The Rise and Fall of Ziggy Stardust and the Spiders from Mars;1972;Rock;Glam Rock;LP;2018-02-12;8.6
Damien Jurado;USA;I Break Chairs;2002;Singer/Songwriter;Indie;LP;2018-02-21;8.0
Bauhaus;England;Crackle;1998;Rock;Gothic Rock;Comp;2018-03-14;8.0
All Time Quarterback;USA;All Time Quarterback;2002;Rock;Indie;LP;2018-03-16;7.6
Superchunk;USA;Here's to Shutting Up;2001;Rock;Alternative Rock;LP;2018-03-25;8.4
Mercury Rev;USA;Deserter's Songs;1998;Rock;Chamber Pop;LP;2018-04-02;9.0
Mercury Rev;USA;Yerself Is Steam;1991;Neo-psychedelia;Shoegaze;LP;2018-04-02;9.2
Luna;USA;A Sentimental Education;2017;Rock;Indie Rock;LP;2018-04-02;8.1
Luna;USA;Bewitched;1994;Rock;Indie Pop;LP;2018-04-02;8.7
Daniel Johnston;USA;Fun;1994;Rock;Outsider music;LP;2018-04-14;8.1
Modern Baseball;USA;You're Gonna Miss It All;2014;Pop;Emo;LP;2018-04-14;7.1
The Feelings;USA;Dearling Darling;1999;Rock;Pop Rock;LP;2018-05-16;7.4
Mercury Rev;USA;Boces;1993;Pop;Neo Psychedelia;LP;2018-05-16;8.8
The World is a Beautiful Place;USA;Harmlessness;2015;Rock;Emo;LP;2018-04-14;9.0
Dan Deacon;USA;Bromst;2009;Electronic;Experimental;LP;2018-05-16;8.3
Preoccupations;Canada;Viet Cong;2015;Post-Punk;Noise Rock;LP;2018-05-16;8.1
King Gizzard & the Lizard Wizard;Australia;I'm In Your Mind Fuzz;2014;Rock;Psychedelic Rock;LP;2018-05-16;8.0
Kanye West;USA;My Beautiful Twisted Dark Fantasy;2010;Hip Hop;Pop Rap;LP;2018-05-16;8.0
Silver Jews;USA;American Water;1998;Rock;Indie Rock;LP;2018-05-16;9.4
The Cry;USA;Beautiful Reasons;1990;Pop;Jangle Pop;LP;2018-05-16;8.8
Beach House;USA;Depression Cherry;2015;Pop;Dream Pop;LP;2018-05-16;9.1
The The;England;Soul Mining;1983;Post-Punk;Synthpop;LP;2018-05-16;9.1
The Magnetic Fields;USA;Get Lost;1995;Pop;Indie Pop;LP;2018-05-16;9.0
